datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2010-10-29,20,7,80
2010-10-30,20,15,81
2010-10-31,18,24,93
2010-11-01,17,14,88
2010-11-02,17,11,86
2010-11-03,18,8,85
2010-11-04,21,5,80
2010-11-05,22,6,74
2010-11-06,21,13,80
2010-11-07,18,14,93
2010-11-08,13,28,81
2010-11-09,16,17,78
2010-11-10,13,30,81
2010-11-11,13,19,72
2010-11-12,17,24,89
2010-11-13,19,12,83
2010-11-14,21,9,83
2010-11-15,20,14,88
2010-11-16,15,22,84
2010-11-17,15,11,79
2010-11-18,13,14,88
2010-11-19,14,14,77
2010-11-20,17,10,76
2010-11-21,15,15,92
2010-11-22,14,16,82
2010-11-23,12,29,79
2010-11-24,11,16,77
2010-11-25,13,22,67
2010-11-26,10,47,66
2010-11-27,12,9,57
2010-11-28,14,17,92
2010-11-29,11,19,62
2010-11-30,13,16,89
2010-12-01,12,19,85
2010-12-02,11,18,83
2010-12-03,10,13,78
2010-12-04,7,25,77
2010-12-05,12,14,71
2010-12-06,17,23,91
2010-12-07,18,18,96
2010-12-08,17,13,93
2010-12-09,16,28,94
2010-12-10,11,9,84
2010-12-11,14,12,79
2010-12-12,17,21,89
2010-12-13,11,13,85
2010-12-14,9,10,81
2010-12-15,8,16,69
2010-12-16,6,9,64
2010-12-17,12,36,89
2010-12-18,6,27,73
2010-12-19,12,17,83
2010-12-20,13,8,90
2010-12-21,15,15,90
2010-12-22,17,13,90
2010-12-23,16,15,94
2010-12-24,13,25,93
2010-12-25,8,25,86
2010-12-26,10,9,90
2010-12-27,8,12,84
2010-12-28,10,9,79
2010-12-29,11,8,88
2010-12-30,13,9,89
2010-12-31,12,11,87
2011-01-01,12,8,88
2011-01-02,13,8,86
2011-01-03,10,10,88
2011-01-04,10,8,74
2011-01-05,10,6,79
2011-01-06,12,17,93
2011-01-07,16,12,85
2011-01-08,16,14,85
2011-01-09,14,10,74
2011-01-10,14,14,91
2011-01-11,12,14,85
2011-01-12,11,9,84
2011-01-13,15,12,83
2011-01-14,14,10,95
2011-01-15,15,10,87
2011-01-16,15,5,84
2011-01-17,16,9,80
2011-01-18,14,8,84
2011-01-19,13,12,85
2011-01-20,11,14,85
2011-01-21,7,18,80
2011-01-22,9,12,79
2011-01-23,7,7,82
2011-01-24,10,9,69
2011-01-25,10,12,71
2011-01-26,9,15,83
2011-01-27,12,18,81
2011-01-28,9,17,84
2011-01-29,11,16,89
2011-01-30,13,6,84
2011-01-31,12,15,84
2011-02-01,13,14,73
2011-02-02,13,16,71
2011-02-03,13,18,55
2011-02-04,13,9,61
2011-02-05,15,9,71
2011-02-06,16,8,77
2011-02-07,17,6,76
2011-02-08,16,8,71
2011-02-09,14,10,77
2011-02-10,13,10,78
2011-02-11,13,11,77
2011-02-12,13,12,69
2011-02-13,13,13,89
2011-02-14,13,9,86
2011-02-15,14,18,88
2011-02-16,12,31,90
2011-02-17,12,21,87
2011-02-18,11,17,89
2011-02-19,14,13,73
2011-02-20,12,15,90
2011-02-21,12,10,79
2011-02-22,10,7,89
2011-02-23,11,17,71
2011-02-24,12,6,44
2011-02-25,12,12,55
2011-02-26,12,11,54
2011-02-27,11,19,86
2011-02-28,9,7,83
2011-03-01,9,21,91
2011-03-02,10,27,86
2011-03-03,9,11,86
2011-03-04,12,15,88
2011-03-05,11,13,85
2011-03-06,12,8,86
2011-03-07,13,14,83
2011-03-08,11,22,71
2011-03-09,12,8,81
2011-03-10,12,8,80
2011-03-11,15,6,79
2011-03-12,15,28,88
2011-03-13,13,28,95
2011-03-14,16,18,89
2011-03-15,18,28,91
2011-03-16,14,17,94
2011-03-17,13,18,92
2011-03-18,14,11,92
2011-03-19,17,8,89
2011-03-20,13,28,90
2011-03-21,13,17,68
2011-03-22,13,11,77
2011-03-23,15,9,81
2011-03-24,17,8,67
2011-03-25,17,11,81
2011-03-26,17,11,81
2011-03-27,17,12,87
2011-03-28,15,19,93
2011-03-29,15,13,93
2011-03-30,15,9,89
2011-03-31,17,10,87
2011-04-01,19,8,83
2011-04-02,20,9,82
2011-04-03,20,11,83
2011-04-04,19,16,73
2011-04-05,19,6,87
2011-04-06,20,8,68
2011-04-07,22,10,54
2011-04-08,22,14,71
2011-04-09,21,12,92
2011-04-10,22,7,88
2011-04-11,21,11,83
2011-04-12,20,19,95
2011-04-13,17,12,88
2011-04-14,14,15,91
2011-04-15,13,18,84
2011-04-16,16,15,76
2011-04-17,17,10,76
2011-04-18,18,10,83
2011-04-19,20,9,79
2011-04-20,18,12,80
2011-04-21,19,17,79
2011-04-22,16,26,90
2011-04-23,15,9,95
2011-04-24,19,9,92
2011-04-25,18,14,90
2011-04-26,20,8,91
2011-04-27,19,6,86
2011-04-28,19,12,87
2011-04-29,20,10,84
2011-04-30,16,22,87
2011-05-01,18,10,87
2011-05-02,19,22,86
2011-05-03,17,12,91
2011-05-04,19,13,93
2011-05-05,21,6,86
2011-05-06,21,10,78
2011-05-07,23,12,81
2011-05-08,22,10,88
2011-05-09,20,11,81
2011-05-10,22,13,75
2011-05-11,22,13,77
2011-05-12,23,13,76
2011-05-13,22,10,73
2011-05-14,24,8,70
2011-05-15,21,22,69
2011-05-16,19,12,76
2011-05-17,21,12,68
2011-05-18,22,8,75
2011-05-19,22,11,76
2011-05-20,22,11,79
2011-05-21,22,10,76
2011-05-22,23,12,81
2011-05-23,25,8,79
2011-05-24,25,8,78
2011-05-25,26,5,75
2011-05-26,25,11,86
2011-05-27,24,17,84
2011-05-28,21,20,76
2011-05-29,23,13,81
2011-05-30,24,6,77
2011-05-31,24,10,75
2011-06-01,19,21,77
2011-06-02,20,9,77
2011-06-03,24,10,85
2011-06-04,25,7,83
2011-06-05,23,8,82
2011-06-06,24,10,84
2011-06-07,21,14,88
2011-06-08,20,17,88
2011-06-09,21,22,73
2011-06-10,22,18,79
2011-06-11,22,20,85
2011-06-12,22,18,78
2011-06-13,24,15,85
2011-06-14,24,10,86
2011-06-15,26,10,76
2011-06-16,25,14,79
2011-06-17,26,14,77
2011-06-18,28,15,80
2011-06-19,22,25,68
2011-06-20,25,15,80
2011-06-21,27,9,78
2011-06-22,28,9,79
2011-06-23,28,11,72
2011-06-24,26,21,75
2011-06-25,27,6,76
2011-06-26,28,9,73
2011-06-27,30,10,70
2011-06-28,30,13,69
2011-06-29,29,13,84
2011-06-30,27,17,86
2011-07-01,27,17,83
2011-07-02,25,20,75
2011-07-03,26,17,75
2011-07-04,27,16,74
2011-07-05,26,14,91
2011-07-06,27,18,84
2011-07-07,29,10,79
2011-07-08,29,12,76
2011-07-09,28,12,80
2011-07-10,30,5,78
2011-07-11,31,5,74
2011-07-12,32,8,69
2011-07-13,30,13,87
2011-07-14,25,21,79
2011-07-15,25,20,71
2011-07-16,27,18,76
2011-07-17,30,15,76
2011-07-18,25,22,67
2011-07-19,24,23,89
2011-07-20,22,41,75
2011-07-21,25,23,74
2011-07-22,26,19,73
2011-07-23,24,25,70
2011-07-24,24,37,65
2011-07-25,24,15,72
2011-07-26,23,14,83
2011-07-27,23,9,91
2011-07-28,24,15,85
2011-07-29,26,15,85
2011-07-30,26,17,83
2011-07-31,24,14,92
2011-08-01,24,10,89
2011-08-02,27,6,86
2011-08-03,27,13,79
2011-08-04,27,13,94
2011-08-05,27,14,89
2011-08-06,29,9,80
2011-08-07,29,14,76
2011-08-08,27,18,90
2011-08-09,26,18,77
2011-08-10,27,8,78
2011-08-11,28,9,69
2011-08-12,28,14,71
2011-08-13,28,14,88
2011-08-14,28,9,80
2011-08-15,28,15,84
2011-08-16,29,9,87
2011-08-17,29,6,83
2011-08-18,31,7,78
2011-08-19,30,6,79
2011-08-20,31,9,79
2011-08-21,32,6,77
2011-08-22,32,6,73
2011-08-23,32,6,74
2011-08-24,32,6,71
2011-08-25,31,9,81
2011-08-26,32,10,77
2011-08-27,25,26,71
2011-08-28,27,13,79
2011-08-29,28,14,87
2011-08-30,28,15,87
2011-08-31,28,9,87
2011-09-01,30,10,80
2011-09-02,32,9,80
2011-09-03,29,9,88
2011-09-04,25,13,90
2011-09-05,25,19,87
2011-09-06,26,13,69
2011-09-07,27,19,77
2011-09-08,27,14,85
2011-09-09,26,14,88
2011-09-10,27,9,85
2011-09-11,29,8,87
2011-09-12,27,12,80
2011-09-13,27,7,85
2011-09-14,28,6,80
2011-09-15,28,5,81
2011-09-16,28,8,82
2011-09-17,28,10,73
2011-09-18,27,20,87
2011-09-19,20,41,71
2011-09-20,23,12,70
2011-09-21,26,13,72
2011-09-22,25,13,72
2011-09-23,26,6,85
2011-09-24,25,6,83
2011-09-25,23,9,80
2011-09-26,25,7,73
2011-09-27,27,12,81
2011-09-28,27,13,72
2011-09-29,26,13,73
2011-09-30,26,10,73
2011-10-01,26,9,71
2011-10-02,27,9,67
2011-10-03,26,9,73
2011-10-04,26,9,82
2011-10-05,26,7,85
2011-10-06,25,12,77
2011-10-07,24,36,84
2011-10-08,20,10,68
2011-10-09,19,17,64
2011-10-10,21,11,65
2011-10-11,25,6,83
2011-10-12,26,12,88
2011-10-13,26,7,88
2011-10-14,22,23,80
2011-10-15,19,26,58
2011-10-16,21,12,63
2011-10-17,20,10,71
2011-10-18,20,11,79
2011-10-19,21,15,84
2011-10-20,19,20,84
2011-10-21,17,8,78
2011-10-22,18,11,79
2011-10-23,18,10,80
2011-10-24,21,17,85
2011-10-25,20,18,88
2011-10-26,18,15,74
2011-10-27,20,13,80
2011-10-28,20,17,84
2011-10-29,21,13,89
2011-10-30,20,10,86
2011-10-31,19,11,85
2011-11-01,19,9,87
2011-11-02,21,8,85
2011-11-03,22,16,83
2011-11-04,21,23,87
2011-11-05,21,29,86
2011-11-06,18,15,78
2011-11-07,18,26,86
2011-11-08,19,24,78
2011-11-09,18,12,81
2011-11-10,20,5,77
2011-11-11,18,4,77
2011-11-12,18,8,74
2011-11-13,18,10,56
2011-11-14,19,7,59
2011-11-15,18,10,67
2011-11-16,17,14,71
2011-11-17,17,11,76
2011-11-18,18,9,71
2011-11-19,19,15,75
2011-11-20,17,17,83
2011-11-21,17,18,86
2011-11-22,16,23,85
2011-11-23,17,10,79
2011-11-24,17,13,68
2011-11-25,17,5,70
2011-11-26,17,4,71
2011-11-27,18,5,75
2011-11-28,18,9,73
2011-11-29,16,8,81
2011-11-30,17,5,71
2011-12-01,18,9,85
