datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2010-08-14,24.0,16.0,88.0
2010-08-15,25.0,15.0,77.0
2010-08-16,25.0,22.0,73.0
2010-08-17,26.0,15.0,77.0
2010-08-18,27.0,15.0,90.0
2010-08-19,28.0,10.0,79.0
2010-08-20,30.0,15.0,82.0
2010-08-21,31.0,10.0,83.0
2010-08-22,32.0,10.0,83.0
2010-08-23,30.0,12.0,85.0
2010-08-24,28.0,14.0,86.0
2010-08-25,29.0,13.0,85.0
2010-08-26,30.0,11.0,92.0
2010-08-27,31.0,17.0,84.0
2010-08-28,28.0,26.0,86.0
2010-08-29,27.0,12.0,89.0
2010-08-30,26.0,26.0,72.0
2010-08-31,26.0,10.0,66.0
2010-09-01,26.0,11.0,67.0
2010-09-02,27.0,13.0,75.0
2010-09-03,26.0,5.0,84.0
2010-09-04,28.0,12.0,75.0
2010-09-05,27.0,15.0,85.0
2010-09-06,27.0,10.0,89.0
2010-09-07,28.0,12.0,87.0
2010-09-08,25.0,20.0,91.0
2010-09-09,23.0,19.0,78.0
2010-09-10,24.0,14.0,82.0
2010-09-11,27.0,12.0,82.0
2010-09-12,26.0,12.0,74.0
2010-09-13,25.0,12.0,92.0
2010-09-14,25.0,15.0,84.0
2010-09-15,26.0,13.0,77.0
2010-09-16,26.0,19.0,89.0
2010-09-17,25.0,13.0,90.0
2010-09-18,26.0,14.0,83.0
2010-09-19,21.0,17.0,82.0
2010-09-20,25.0,6.0,84.0
2010-09-21,22.0,7.0,81.0
2010-09-22,23.0,11.0,82.0
2010-09-23,26.0,7.0,80.0
2010-09-24,24.0,9.0,82.0
2010-09-25,20.0,27.0,81.0
2010-09-26,18.0,22.0,84.0
2010-09-27,18.0,24.0,78.0
2010-09-28,20.0,19.0,78.0
2010-09-29,21.0,12.0,76.0
2010-09-30,22.0,13.0,85.0
2010-10-01,22.0,16.0,88.0
2010-10-02,22.0,8.0,87.0
2010-10-03,22.0,13.0,88.0
2010-10-04,25.0,17.0,93.0
2010-10-05,21.0,14.0,85.0
2010-10-06,22.0,7.0,86.0
2010-10-07,25.0,11.0,85.0
2010-10-08,24.0,13.0,80.0
2010-10-09,21.0,14.0,89.0
2010-10-10,21.0,22.0,91.0
2010-10-11,19.0,23.0,87.0
2010-10-12,21.0,22.0,89.0
2010-10-13,20.0,8.0,89.0
2010-10-14,20.0,10.0,88.0
2010-10-15,19.0,13.0,84.0
2010-10-16,17.0,15.0,88.0
2010-10-17,16.0,13.0,85.0
2010-10-18,16.0,11.0,83.0
2010-10-19,20.0,15.0,82.0
2010-10-20,17.0,40.0,78.0
2010-10-21,17.0,9.0,77.0
2010-10-22,19.0,9.0,82.0
2010-10-23,19.0,9.0,85.0
2010-10-24,19.0,17.0,86.0
2010-10-25,16.0,31.0,86.0
2010-10-26,16.0,23.0,85.0
2010-10-27,18.0,13.0,77.0
2010-10-28,19.0,9.0,82.0
2010-10-29,20.0,7.0,80.0
2010-10-30,20.0,15.0,81.0
2010-10-31,18.0,24.0,93.0
2010-11-01,17.0,14.0,88.0
2010-11-02,17.0,11.0,86.0
